,M,exem,std,adv,sup,full
0,0,23.554797646133398,24.334913368912815,25.194274762994763,24.884613731185286,25.089199162155985
1,2,21.14799875508957,22.110663617898773,22.190559460948442,22.06940436713389,22.190474528322753
2,3,21.972390483418145,22.619537004217282,22.934815198961246,22.910755733970735,23.0730596228913
3,4,22.106532974754014,22.967680909252408,22.88184840300319,22.94878823760917,22.948343995687708
4,5,22.47073820128998,23.42081167770138,24.022482881381674,23.87554103551181,24.052764439687813
5,6,22.685605557933656,23.557380300467823,24.157574540497095,23.978919051131346,24.159141957158873
6,7,23.5021149436282,23.9233821549931,24.463208209767874,24.283296419287492,24.491209887993346
7,8,20.677634872557945,20.81623963839476,20.881527847886893,20.9356382853898,20.79947994200367
8,9,22.65881225008439,23.866030521068172,24.25461873359243,24.279195166335512,24.43498999167317
